team,season,captain_name,source_page,alternate_data_available
Chicago Blackhawks,2019-20,Jonathan Toews,https://en.wikipedia.org/wiki/List_of_Chicago_Blackhawks_captains,FALSE
Chicago Blackhawks,2020-21,Jonathan Toews,https://en.wikipedia.org/wiki/List_of_Chicago_Blackhawks_captains,FALSE
Chicago Blackhawks,2021-22,Jonathan Toews,https://en.wikipedia.org/wiki/List_of_Chicago_Blackhawks_captains,FALSE
Chicago Blackhawks,2022-23,Jonathan Toews,https://en.wikipedia.org/wiki/List_of_Chicago_Blackhawks_captains,FALSE
Colorado Avalanche,2012-13,Gabriel Landeskog,https://en.wikipedia.org/wiki/List_of_Colorado_Avalanche_captains,FALSE
Colorado Avalanche,2013-14,Gabriel Landeskog,https://en.wikipedia.org/wiki/List_of_Colorado_Avalanche_captains,FALSE
Colorado Avalanche,2014-15,Gabriel Landeskog,https://en.wikipedia.org/wiki/List_of_Colorado_Avalanche_captains,FALSE
Colorado Avalanche,2015-16,Gabriel Landeskog,https://en.wikipedia.org/wiki/List_of_Colorado_Avalanche_captains,FALSE
Colorado Avalanche,2016-17,Gabriel Landeskog,https://en.wikipedia.org/wiki/List_of_Colorado_Avalanche_captains,FALSE
Colorado Avalanche,2017-18,Gabriel Landeskog,https://en.wikipedia.org/wiki/List_of_Colorado_Avalanche_captains,FALSE
Colorado Avalanche,2018-19,Gabriel Landeskog,https://en.wikipedia.org/wiki/List_of_Colorado_Avalanche_captains,FALSE
Colorado Avalanche,2019-20,Gabriel Landeskog,https://en.wikipedia.org/wiki/List_of_Colorado_Avalanche_captains,FALSE
Colorado Avalanche,2020-21,Gabriel Landeskog,https://en.wikipedia.org/wiki/List_of_Colorado_Avalanche_captains,FALSE
Colorado Avalanche,2021-22,Gabriel Landeskog,https://en.wikipedia.org/wiki/List_of_Colorado_Avalanche_captains,FALSE
Colorado Avalanche,2022-23,Gabriel Landeskog,https://en.wikipedia.org/wiki/List_of_Colorado_Avalanche_captains,FALSE
Colorado Avalanche,2023-24,Gabriel Landeskog,https://en.wikipedia.org/wiki/List_of_Colorado_Avalanche_captains,FALSE
Colorado Avalanche,2024-25,Gabriel Landeskog,https://en.wikipedia.org/wiki/List_of_Colorado_Avalanche_captains,FALSE
Columbus Blue Jackets,2012-13,Nick Foligno,https://en.wikipedia.org/wiki/List_of_Columbus_Blue_Jackets_captains,FALSE
Columbus Blue Jackets,2013-14,Nick Foligno,https://en.wikipedia.org/wiki/List_of_Columbus_Blue_Jackets_captains,FALSE
Columbus Blue Jackets,2014-15,Nick Foligno,https://en.wikipedia.org/wiki/List_of_Columbus_Blue_Jackets_captains,FALSE
