player_name,position,signing_team,previous_team,contract_value,aav,contract_years,signing_year,signing_date,contract_type
Ben Hutton,"LD, RD",Anaheim Ducks,Anaheim Ducks,950000,950000,1,2021,2021-01-15,UFA
Ben Hutton,"LD, RD",Vegas Golden Knights,Anaheim Ducks,750000,750000,1,2021,2021-10-28,UFA
Ben McCartney,LW,Arizona Coyotes,NA,2440000,813333,3,2021,2021-05-27,RFA
Blake Coleman,"RW, LW",Calgary Flames,Tampa Bay Lightning,29400000,4900000,6,2021,2021-07-28,UFA
Blake Lizotte,"LW, RW, C",Los Angeles Kings,Los Angeles Kings,800000,800000,1,2021,2021-06-25,other
Bokondji Imama,LW,Arizona Coyotes,NA,750000,750000,1,2021,2021-08-06,other
Boone Jenner,C,Columbus Blue Jackets,Columbus Blue Jackets,15000000,3750000,4,2021,2021-07-28,UFA
Braden Schneider,RD,New York Rangers,NA,3975000,1325000,3,2021,2021-03-03,RFA
Brady Tkachuk,LW,Ottawa Senators,Ottawa Senators,57500000,8330674,7,2021,2021-10-14,UFA
Braeden Kressler,C,Toronto Maple Leafs,NA,2555000,835000,3,2021,2021-10-02,RFA
Brandon Carlo,RD,Boston Bruins,Boston Bruins,24600000,4100000,6,2021,2021-07-14,UFA
Brandon Coe,RW,San Jose Sharks,NA,2775000,925000,3,2021,2021-12-06,RFA
Brandon Duhaime,RW,Minnesota Wild,NA,1500000,750000,2,2021,2021-07-29,other
Brandon Hagel,"LW, RW",Chicago Blackhawks,Chicago Blackhawks,4500000,1500000,3,2021,2021-08-06,other
Brandon Montour,RD,Florida Panthers,Buffalo Sabres,10500000,3500000,3,2021,2021-07-27,UFA
Brandon Saad,LW,St. Louis Blues,Colorado Avalanche,22500000,4500000,5,2021,2021-07-29,UFA
Brandt Clarke,RD,Los Angeles Kings,NA,5325000,1775000,3,2021,2021-08-10,RFA
Brayden Point,"C, RW",Tampa Bay Lightning,Tampa Bay Lightning,76000000,9500000,8,2021,2021-07-28,UFA
Brendan Gaunce,"C, RW",Columbus Blue Jackets,Boston Bruins,750000,750000,1,2021,2021-07-31,UFA
Brendan Smith,"LD, RD",Carolina Hurricanes,New York Rangers,800000,800000,1,2021,2021-07-29,UFA
Brennan Othmann,LW,New York Rangers,NA,4125000,1375000,3,2021,2021-08-12,RFA
Brett Howden,"LW, C",New York Rangers,New York Rangers,885000,885000,1,2021,2021-07-09,other
Brett Seney,LW,Toronto Maple Leafs,New Jersey Devils,750000,750000,1,2021,2021-07-29,other
Brock McGinn,LW,Pittsburgh Penguins,Carolina Hurricanes,11000000,2750000,4,2021,2021-07-28,UFA
Brogan Rafferty,RD,Anaheim Ducks,Vancouver Canucks,750000,750000,1,2021,2021-07-28,UFA
Cal Petersen,G,Los Angeles Kings,Los Angeles Kings,15000000,5000000,3,2021,2021-09-22,UFA
Cale Fleury,RD,Seattle Kraken,Montréal Canadiens,750000,750000,1,2021,2021-08-13,other
Cale Makar,RD,Colorado Avalanche,Colorado Avalanche,54000000,9000000,6,2021,2021-07-24,UFA
Callahan Burke,C,Colorado Avalanche,NA,825000,861940,1,2021,2021-12-17,other
Calle Rosen,"RD, LD",St. Louis Blues,Colorado Avalanche,750000,750000,1,2021,2021-07-30,UFA
Calvin Pickard,G,Detroit Red Wings,Detroit Red Wings,800000,800000,1,2021,2021-07-28,UFA
Cam Dineen,LD,Arizona Coyotes,NA,750000,750000,1,2021,2021-08-02,other
Cam York,"LD, RD",Philadelphia Flyers,Philadelphia Flyers,3925000,1308333,3,2021,2021-04-01,RFA
Cameron Hughes,C,Boston Bruins,Boston Bruins,750000,750000,1,2021,2021-07-07,other
Carson Lambos,LD,Minnesota Wild,NA,2987500,995833,3,2021,2021-08-25,RFA
Carson Meyer,"LW, RW",Columbus Blue Jackets,NA,820000,820000,1,2021,2021-04-17,other
Carter Verhaeghe,"RW, LW, C",Florida Panthers,Florida Panthers,12500000,4166667,3,2021,2021-07-28,UFA
Casey Cizikas,"LW, C",New York Islanders,New York Islanders,15000000,2500000,6,2021,2021-09-01,UFA
Casey Fitzgerald,RD,Buffalo Sabres,NA,1500000,750000,2,2021,2021-08-13,other
Casey Mittelstadt,C,Buffalo Sabres,Buffalo Sabres,7500000,2500000,3,2021,2021-09-02,other
Charlie Lindgren,G,St. Louis Blues,Montréal Canadiens,750000,750000,1,2021,2021-07-29,UFA
Charlie McAvoy,RD,Boston Bruins,Boston Bruins,76000000,9500000,8,2021,2021-10-15,UFA
Chase Priskie,RD,Florida Panthers,NA,750000,750000,1,2021,2021-08-05,other
Chase Stillman,RW,New Jersey Devils,NA,2775000,925000,3,2021,2021-08-19,RFA
Chris Driedger,G,Seattle Kraken,Florida Panthers,10500000,3500000,3,2021,2021-07-21,UFA
Christian Wolanin,LD,Los Angeles Kings,Ottawa Senators,750000,750000,1,2021,2021-07-06,UFA
Clark Bishop,C,Ottawa Senators,Ottawa Senators,800000,800000,1,2021,2021-05-20,other
Cody Ceci,"RD, LD",Edmonton Oilers,Pittsburgh Penguins,13000000,3250000,4,2021,2021-07-28,UFA
Cole Caufield,"RW, LW",Montreal Canadiens,Montréal Canadiens,3925000,1308333,3,2021,2021-03-27,RFA
Cole Koepke,"LW, RW",Tampa Bay Lightning,NA,1850000,925000,2,2021,2021-04-14,other
Cole Reinhardt,LW,Ottawa Senators,NA,2440000,813333,3,2021,2021-04-16,other
Cole Sillinger,C,Columbus Blue Jackets,NA,4900000,1633333,3,2021,2021-08-18,RFA
Cole Smith,"LW, RW",Nashville Predators,Nashville Predators,750000,750000,1,2021,2021-07-15,other
Colten Ellis,G,St. Louis Blues,NA,2775000,925000,3,2021,2021-03-01,RFA
Colton Dach,C,Chicago Blackhawks,NA,2825000,925000,3,2021,2021-10-01,RFA
Colton Parayko,RD,St. Louis Blues,St. Louis Blues,52000000,6500000,8,2021,2021-09-01,UFA
Colton White,LD,New Jersey Devils,New Jersey Devils,750000,750000,1,2021,2021-07-14,other
Connor Carrick,RD,Seattle Kraken,New Jersey Devils,800000,800000,1,2021,2021-08-04,UFA
Connor Mackey,LD,Calgary Flames,Calgary Flames,1825000,912500,2,2021,2021-09-08,other
Connor Murphy,"RD, LD",Chicago Blackhawks,Chicago Blackhawks,17600000,4400000,4,2021,2021-08-31,UFA
Conor Garland,"RW, LW",Vancouver Canucks,Arizona Coyotes,24750000,4950000,5,2021,2021-07-27,UFA
Conor Sheary,"LW, C, RW",Washington Capitals,Washington Capitals,3000000,1500000,2,2021,2021-04-14,UFA
Conor Timmins,RD,Arizona Coyotes,Colorado Avalanche,1700000,850000,2,2021,2021-08-06,RFA
Corey Perry,RW,Tampa Bay Lightning,Montréal Canadiens,2000000,1000000,2,2021,2021-07-29,UFA
Corey Schueneman,"LD, RD",Montreal Canadiens,NA,750000,750000,1,2021,2021-04-02,other
Daemon Hunt,"LD, RD",Minnesota Wild,NA,2800000,925000,3,2021,2021-05-06,RFA
Dakota Joshua,"LW, RW, C",St. Louis Blues,St. Louis Blues,750000,750000,1,2021,2021-07-31,other
Dakota Mermis,"LD, RD",Minnesota Wild,Minnesota Wild,1500000,750000,2,2021,2021-07-27,UFA
Daniil Miromanov,RD,Vegas Golden Knights,NA,925000,925000,1,2021,2021-03-17,other
Danil Gushchin,LW,San Jose Sharks,NA,2800000,925000,3,2021,2021-05-17,RFA
Danila Klimovich,RW,Vancouver Canucks,NA,2800000,925000,3,2021,2021-07-28,RFA
Dante Fabbro,RD,Nashville Predators,Nashville Predators,4800000,2400000,2,2021,2021-08-05,other
Danton Heinen,"LW, RW",Pittsburgh Penguins,Anaheim Ducks,1100000,1100000,1,2021,2021-07-29,other
Darnell Nurse,"LD, RD",Edmonton Oilers,Edmonton Oilers,74000000,9250000,8,2021,2021-08-06,UFA
Darren Raddysh,"RD, LD",Tampa Bay Lightning,NA,750000,750000,1,2021,2021-07-28,other
David Kampf,C,Toronto Maple Leafs,Chicago Blackhawks,3000000,1500000,2,2021,2021-07-28,UFA
David Rittich,G,Nashville Predators,Calgary Flames,1250000,1250000,1,2021,2021-07-28,UFA
David Savard,"RD, LD",Montreal Canadiens,Columbus Blue Jackets,14000000,3500000,4,2021,2021-07-28,UFA
Dennis Cholowski,LD,Seattle Kraken,Detroit Red Wings,900000,900000,1,2021,2021-09-07,other
Dennis Gilbert,"LD, RD",Colorado Avalanche,Colorado Avalanche,750000,750000,1,2021,2021-08-16,other
Derek Forbort,"LD, RD",Boston Bruins,Winnipeg Jets,9000000,3000000,3,2021,2021-07-28,UFA
Derek Ryan,"C, RW",Edmonton Oilers,Calgary Flames,2500000,1250000,2,2021,2021-07-28,UFA
Devin Shore,"LW, C",Edmonton Oilers,Edmonton Oilers,700000,700000,1,2021,2021-01-13,other
Devin Shore,"LW, C",Edmonton Oilers,Edmonton Oilers,1700000,850000,2,2021,2021-06-09,UFA
Dmitry Kulikov,"LD, RD",Minnesota Wild,New Jersey Devils,4500000,2250000,2,2021,2021-07-28,UFA
Dmitry Kuzmin,LD,Winnipeg Jets,NA,2650000,866667,3,2021,2021-08-15,RFA
Dominic Toninato,"RW, C",Winnipeg Jets,Winnipeg Jets,1500000,750000,2,2021,2021-07-06,UFA
Donovan Sebrango,LD,Detroit Red Wings,NA,2800000,925000,3,2021,2021-03-15,RFA
Dougie Hamilton,RD,New Jersey Devils,Carolina Hurricanes,63000000,9000000,7,2021,2021-07-28,UFA
Drake Batherson,"RW, LW",Ottawa Senators,Ottawa Senators,29850000,4975000,6,2021,2021-09-03,UFA
Drake Caggiula,LW,Buffalo Sabres,Arizona Coyotes,750000,750000,1,2021,2021-07-27,UFA
Dryden Hunt,"LW, RW",New York Rangers,Arizona Coyotes,1525000,762500,2,2021,2021-07-28,UFA
Dylan Coghlan,RD,Vegas Golden Knights,Vegas Golden Knights,1525000,762500,2,2021,2021-09-16,other
Dylan Gambrell,C,San Jose Sharks,San Jose Sharks,1100000,1100000,1,2021,2021-07-15,other
Dylan Garand,G,New York Rangers,NA,2800000,925000,3,2021,2021-12-23,RFA
Dylan Guenther,RW,Arizona Coyotes,NA,5325000,1775000,3,2021,2021-08-30,RFA
Dylan Holloway,"LW, C",Edmonton Oilers,NA,4325000,1441667,3,2021,2021-04-16,RFA
Dylan McIlrath,RD,Washington Capitals,Detroit Red Wings,1500000,750000,2,2021,2021-07-28,UFA
Dylan Strome,C,Chicago Blackhawks,Chicago Blackhawks,6000000,3000000,2,2021,2021-01-03,other
Dysin Mayo,RD,Arizona Coyotes,NA,750000,750000,1,2021,2021-08-02,other
Eeli Tolvanen,"LW, RW",Nashville Predators,Nashville Predators,4350000,1450000,3,2021,2021-08-30,other
Eemil Viro,LD,Detroit Red Wings,NA,2800000,925000,3,2021,2021-05-19,RFA
Elias Pettersson,"C, LW",Vancouver Canucks,Vancouver Canucks,22050000,7350000,3,2021,2021-10-01,other
Elliot Desnoyers,LW,Philadelphia Flyers,NA,2650000,875000,3,2021,2021-05-05,RFA
Elvis Merzlikins,G,Columbus Blue Jackets,Columbus Blue Jackets,27000000,5400000,5,2021,2021-09-21,UFA
Eric Comrie,G,Winnipeg Jets,New Jersey Devils,750000,750000,1,2021,2021-07-27,other
Eric Robinson,"LW, RW",Columbus Blue Jackets,Columbus Blue Jackets,3200000,1600000,2,2021,2021-07-28,UFA
Erik Gudbranson,RD,Calgary Flames,Ottawa Senators,1950000,1950000,1,2021,2021-09-10,UFA
Erik Gustafsson,LD,Chicago Blackhawks,Philadelphia Flyers,800000,800000,1,2021,2021-10-12,UFA
Erik Haula,"C, LW",Boston Bruins,Nashville Predators,4750000,2375000,2,2021,2021-07-28,UFA
Evan Rodrigues,"RW, LW, C",Pittsburgh Penguins,Pittsburgh Penguins,1000000,1000000,1,2021,2021-07-28,UFA
Fabian Lysell,RW,Boston Bruins,NA,3287500,1095833,3,2021,2021-08-09,RFA
Felix Sandstrom,G,Philadelphia Flyers,NA,750000,750000,1,2021,2021-06-08,other
Filip Chytil,C,New York Rangers,New York Rangers,4600000,2300000,2,2021,2021-07-29,other
Filip Gustavsson,G,Ottawa Senators,Ottawa Senators,1575000,787500,2,2021,2021-08-29,other
Filip Hronek,"RD, LD",Detroit Red Wings,Detroit Red Wings,13200000,4400000,3,2021,2021-09-03,other
Frederick Gaudreau,"C, RW, LW",Minnesota Wild,Pittsburgh Penguins,2400000,1200000,2,2021,2021-07-28,UFA
Frederik Andersen,G,Carolina Hurricanes,Toronto Maple Leafs,9000000,4500000,2,2021,2021-07-28,UFA
Gabriel Landeskog,LW,Colorado Avalanche,Colorado Avalanche,56000000,7000000,8,2021,2021-07-27,UFA
Gage Quinney,C,Vegas Golden Knights,Vegas Golden Knights,750000,750000,1,2021,2021-07-28,other
Garrett Pilon,C,Washington Capitals,Washington Capitals,1500000,750000,2,2021,2021-06-17,other
Givani Smith,RW,Detroit Red Wings,Detroit Red Wings,1500000,750000,2,2021,2021-09-14,other
Glenn Gawdin,C,Calgary Flames,Calgary Flames,750000,750000,1,2021,2021-08-25,other
Graeme Clarke,RW,New Jersey Devils,NA,2775000,925000,3,2021,2021-03-04,RFA
Guillaume Brisebois,LD,Vancouver Canucks,Vancouver Canucks,750000,750000,1,2021,2021-08-12,other
Gustav Forsling,LD,Florida Panthers,Florida Panthers,8000000,2666667,3,2021,2021-07-15,UFA
Gustav Lindstrom,"RD, LD",Detroit Red Wings,Detroit Red Wings,1700000,850000,2,2021,2021-07-26,other
Gustav Olofsson,LD,Seattle Kraken,Montréal Canadiens,750000,750000,1,2021,2021-08-25,UFA
Helge Grans,RD,Los Angeles Kings,NA,2800000,925000,3,2021,2021-06-04,RFA
Henri Jokiharju,RD,Buffalo Sabres,Buffalo Sabres,7500000,2500000,3,2021,2021-09-02,other
Hudson Fasching,"RW, LW",Arizona Coyotes,Arizona Coyotes,750000,750000,1,2021,2021-07-29,other
Hunter Shepard,G,Washington Capitals,NA,1500000,750000,2,2021,2021-07-28,UFA
Hunter Skinner,RD,New York Rangers,NA,2775000,925000,3,2021,2021-03-29,RFA
Ian Cole,"LD, RD",Carolina Hurricanes,Colorado Avalanche,2900000,2900000,1,2021,2021-07-28,UFA
Igor Shesterkin,G,New York Rangers,New York Rangers,22666667,5666667,4,2021,2021-08-09,UFA
Ilya Lyubushkin,RD,Arizona Coyotes,Arizona Coyotes,1350000,1350000,1,2021,2021-04-19,UFA
Ilya Samsonov,G,Washington Capitals,Washington Capitals,2000000,2000000,1,2021,2021-08-09,other
Ilya Solovyov,"LD, RD",Calgary Flames,NA,2485000,828333,3,2021,2021-04-06,other
Ilya Sorokin,G,New York Islanders,New York Islanders,12000000,4000000,3,2021,2021-09-01,UFA
Isaak Phillips,"LD, RD",Chicago Blackhawks,NA,2775000,925000,3,2021,2021-03-31,RFA
Isac Lundestrom,"C, LW",Anaheim Ducks,Anaheim Ducks,874125,874125,1,2021,2021-08-06,other
Ivan Barbashev,"LW, C",St. Louis Blues,St. Louis Blues,4500000,2250000,2,2021,2021-07-30,UFA
J.J. Moser,"LD, RD",Arizona Coyotes,NA,2775000,925000,3,2021,2021-08-14,other
JJ Peterka,"RW, LW",Buffalo Sabres,NA,2775000,925000,3,2021,2021-06-11,RFA
Jack Drury,C,Carolina Hurricanes,NA,2775000,925000,3,2021,2021-07-07,other
Jack Hughes,"LW, RW, C",New Jersey Devils,New Jersey Devils,64000000,8000000,8,2021,2021-11-30,UFA
Jack Johnson,"LD, RD",Colorado Avalanche,New York Rangers,750000,750000,1,2021,2021-10-10,UFA
Jack Matier,RD,Nashville Predators,NA,2565000,838333,3,2021,2021-10-11,RFA
Jack Roslovic,"RW, C",Columbus Blue Jackets,Columbus Blue Jackets,3800000,2030952,2,2021,2021-01-23,other
Jack Thompson,RD,Tampa Bay Lightning,NA,2800000,925000,3,2021,2021-05-18,RFA
Jacob Bernard-Docker,RD,Ottawa Senators,Ottawa Senators,3625000,1208333,3,2021,2021-04-01,other
Jacob Moverare,"LD, RD",Los Angeles Kings,NA,750000,750000,1,2021,2021-08-13,other
Jaden Schwartz,"RW, LW, C",Seattle Kraken,St. Louis Blues,27500000,5500000,5,2021,2021-07-28,UFA
Jake Bean,"LD, RD",Columbus Blue Jackets,Carolina Hurricanes,7000000,2333333,3,2021,2021-07-29,other
Jake Evans,"C, RW",Montreal Canadiens,Montréal Canadiens,5100000,1700000,3,2021,2021-10-03,UFA
Jake McCabe,"LD, RD",Chicago Blackhawks,Buffalo Sabres,16000000,4000000,4,2021,2021-07-28,UFA
Jakub Vrana,LW,Detroit Red Wings,Washington Capitals,15750000,5250000,3,2021,2021-08-10,UFA
Jalen Chatfield,RD,Carolina Hurricanes,Vancouver Canucks,750000,750000,1,2021,2021-07-29,other
James Reimer,G,San Jose Sharks,Carolina Hurricanes,4500000,2250000,2,2021,2021-07-28,UFA
Jamie Oleksiak,"LD, RD",Seattle Kraken,Dallas Stars,23000000,4600000,5,2021,2021-07-21,UFA
Jan Mysak,C,Montreal Canadiens,NA,2800000,925000,3,2021,2021-04-06,RFA
Jarred Tinordi,LD,New York Rangers,Nashville Predators,1800000,900000,2,2021,2021-07-28,UFA
Jason Dickinson,"C, RW",Vancouver Canucks,Dallas Stars,7950000,2650000,3,2021,2021-08-14,UFA
Jaycob Megna,"RD, LD",San Jose Sharks,Anaheim Ducks,750000,750000,1,2021,2021-07-28,UFA
Jean-Luc Foudy,C,Colorado Avalanche,NA,2775000,925000,3,2021,2021-05-25,RFA
Jeff Malott,LW,Winnipeg Jets,NA,780000,780000,1,2021,2021-05-31,other
Jeffrey Viel,LW,San Jose Sharks,San Jose Sharks,1500000,750000,2,2021,2021-06-14,other
Jeremie Poirier,LD,Calgary Flames,NA,2585000,853333,3,2021,2021-09-24,RFA
Jeremy Davies,LD,Nashville Predators,Nashville Predators,750000,750000,1,2021,2021-07-26,other
Jesper Bratt,"LW, RW",New Jersey Devils,New Jersey Devils,5500000,2750000,2,2021,2021-01-10,other
Jesperi Kotkaniemi,"C, LW",Carolina Hurricanes,Montréal Canadiens,6100035,6100035,1,2021,2021-08-28,other
Jimmy Schuldt,LD,Buffalo Sabres,Vegas Golden Knights,750000,750000,1,2021,2021-07-28,UFA
Jimmy Vesey,LW,New Jersey Devils,Toronto Maple Leafs,800000,800000,1,2021,2021-10-10,UFA
Joe Hicketts,LD,Minnesota Wild,Detroit Red Wings,1500000,750000,2,2021,2021-07-28,UFA
Joe Snively,C,Washington Capitals,NA,750000,750000,1,2021,2021-06-03,other
Joel Armia,"LW, RW",Montreal Canadiens,Montréal Canadiens,13600000,3400000,4,2021,2021-07-27,UFA
Joel Eriksson Ek,C,Minnesota Wild,Minnesota Wild,42000000,5250000,8,2021,2021-07-02,UFA
Joel Farabee,LW,Philadelphia Flyers,Philadelphia Flyers,30000000,5000000,6,2021,2021-09-02,UFA
Joel Hanley,"LD, RD",Dallas Stars,Dallas Stars,1500000,750000,2,2021,2021-04-14,UFA
Joel Kiviranta,LW,Dallas Stars,Dallas Stars,2100000,1050000,2,2021,2021-07-31,UFA
John Hayden,C,Buffalo Sabres,Arizona Coyotes,750000,750000,1,2021,2021-07-29,UFA
John Marino,"RD, LD",Pittsburgh Penguins,Pittsburgh Penguins,26400000,4400000,6,2021,2021-01-03,UFA
Johnathan Kovacevic,"RD, LD",Winnipeg Jets,NA,750000,750000,1,2021,2021-08-12,other
Jon Merrill,"RD, LD",Minnesota Wild,Detroit Red Wings,850000,850000,1,2021,2021-07-29,UFA
Jon-Randall Avon,C,Philadelphia Flyers,NA,2550000,850000,3,2021,2021-09-22,RFA
Jonas Johansson,G,Colorado Avalanche,Buffalo Sabres,750000,750000,1,2021,2021-06-29,other
Jonas Siegenthaler,"LD, RD",New Jersey Devils,Washington Capitals,2250000,1125000,2,2021,2021-07-09,other
Jonatan Berggren,RW,Detroit Red Wings,NA,2775000,925000,3,2021,2021-05-20,other
Jonny Brodzinski,"RW, C, LW",New York Rangers,New York Rangers,750000,750000,1,2021,2021-04-19,UFA
Joona Koppanen,LW,Boston Bruins,NA,750000,750000,1,2021,2021-07-07,other
Jordan Binnington,G,St. Louis Blues,St. Louis Blues,36000000,6000000,6,2021,2021-03-11,UFA
Jordan Kyrou,"RW, C",St. Louis Blues,St. Louis Blues,5600000,2800000,2,2021,2021-08-03,other
Jordan Martinook,LW,Carolina Hurricanes,Carolina Hurricanes,5400000,1800000,3,2021,2021-07-28,UFA
Jordan Oesterle,"LD, RD",Detroit Red Wings,Arizona Coyotes,2700000,1350000,2,2021,2021-07-28,UFA
Joseph Cecconi,RD,Dallas Stars,NA,750000,750000,1,2021,2021-08-03,other
Joseph Woll,G,Toronto Maple Leafs,NA,750000,750000,1,2021,2021-07-17,other
Josh Dunne,C,Columbus Blue Jackets,Columbus Blue Jackets,1850000,925000,2,2021,2021-03-14,other
Josh Mahura,"LD, RD",Anaheim Ducks,Anaheim Ducks,1500000,750000,2,2021,2021-08-09,other
Julien Gauthier,RW,New York Rangers,New York Rangers,775000,775000,1,2021,2021-07-16,other
Justin Bailey,RW,Vancouver Canucks,Vancouver Canucks,750000,750000,1,2021,2021-07-28,other
Justin Barron,"RD, LD",Colorado Avalanche,NA,3475000,1158333,3,2021,2021-04-27,RFA
Justin Danforth,"RW, C",Columbus Blue Jackets,NA,750000,750000,1,2021,2021-05-03,UFA
Justin Dowling,C,Vancouver Canucks,Dallas Stars,1500000,750000,2,2021,2021-07-28,UFA
Justin Kirkland,C,Calgary Flames,NA,750000,750000,1,2021,2021-08-25,other
Justin Sourdif,RW,Florida Panthers,NA,2800000,925000,3,2021,2021-09-24,RFA
Juuse Saros,G,Nashville Predators,Nashville Predators,20000000,5000000,4,2021,2021-08-16,UFA
Juuso Parssinen,"RW, LW, C",Nashville Predators,NA,2775000,925000,3,2021,2021-05-28,RFA
Juuso Valimaki,LD,Calgary Flames,Calgary Flames,3100000,1550000,2,2021,2021-08-20,other
Kailer Yamamoto,"RW, C",Edmonton Oilers,Edmonton Oilers,1175000,1175000,1,2021,2021-09-18,other
Kale Clague,"LD, RD",Los Angeles Kings,Los Angeles Kings,761250,761250,1,2021,2021-08-06,other
Karel Vejmelka,G,Arizona Coyotes,NA,925000,925000,1,2021,2021-05-04,other
Keaton Middleton,LD,Colorado Avalanche,Colorado Avalanche,1485000,742500,2,2021,2021-03-30,other
Kevin Connauton,"LD, RD",Florida Panthers,Florida Panthers,700000,700000,1,2021,2021-01-13,UFA
Kevin Connauton,"LD, RD",Florida Panthers,Florida Panthers,825000,825000,1,2021,2021-06-01,UFA
Kevin Fiala,"RW, LW",Minnesota Wild,Minnesota Wild,5100000,5100000,1,2021,2021-08-16,other
Kevin Gravel,LD,Calgary Flames,Toronto Maple Leafs,750000,750000,1,2021,2021-07-28,UFA
Kevin Stenlund,"C, RW",Columbus Blue Jackets,Columbus Blue Jackets,1050000,1050000,1,2021,2021-06-17,other
Kiefer Sherwood,LW,Colorado Avalanche,Colorado Avalanche,750000,750000,1,2021,2021-07-22,UFA
Kieffer Bellows,LW,New York Islanders,New York Islanders,750000,750000,1,2021,2021-10-12,other
Kirill Kaprizov,"RW, LW",Minnesota Wild,Minnesota Wild,45000000,9000000,5,2021,2021-09-21,UFA
Kole Lind,RW,Seattle Kraken,Vancouver Canucks,874125,874125,1,2021,2021-08-06,other
Kyle Burroughs,"RD, LD",Vancouver Canucks,Colorado Avalanche,1500000,750000,2,2021,2021-07-28,UFA
Kyle Palmieri,"RW, LW, C",New York Islanders,New Jersey Devils,20000000,5000000,4,2021,2021-09-01,UFA
Lane Pederson,C,San Jose Sharks,Arizona Coyotes,1500000,750000,2,2021,2021-07-28,other
Laurent Brossoit,G,Vegas Golden Knights,Winnipeg Jets,4650000,2325000,2,2021,2021-07-28,UFA
Leevi Merilainen,G,Ottawa Senators,NA,2540000,838333,3,2021,2021-06-14,RFA
Liam O'Brien,"RW, LW, C",Colorado Avalanche,Colorado Avalanche,700000,700000,1,2021,2021-03-30,other
Liam O'Brien,"RW, LW, C",Arizona Coyotes,Colorado Avalanche,750000,750000,1,2021,2021-07-28,UFA
Linus Ullmark,G,Boston Bruins,Buffalo Sabres,20000000,5000000,4,2021,2021-07-28,UFA
Logan O'Connor,RW,Colorado Avalanche,Colorado Avalanche,3150000,1050000,3,2021,2021-09-22,UFA
Logan Stankoven,"RW, C",Dallas Stars,NA,2825000,925000,3,2021,2021-09-28,RFA
Logan Stanley,"RD, LD",Winnipeg Jets,Winnipeg Jets,1800000,900000,2,2021,2021-08-04,other
Louie Belpedio,RD,Montreal Canadiens,Minnesota Wild,750000,750000,1,2021,2021-07-28,other
Louis Crevier,"RD, LD",Chicago Blackhawks,NA,2775000,925000,3,2021,2021-11-02,other
Louis Domingue,G,Pittsburgh Penguins,Calgary Flames,750000,750000,1,2021,2021-09-02,UFA
Lucas Carlsson,LD,Florida Panthers,Chicago Blackhawks,750000,750000,1,2021,2021-07-26,other
Lucas Raymond,"LW, RW",Detroit Red Wings,NA,10275000,3425000,3,2021,2021-04-16,RFA
Lukas Reichel,LW,Chicago Blackhawks,NA,4012500,1337500,3,2021,2021-06-09,RFA
Lukas Rousek,RW,Buffalo Sabres,NA,1660000,830000,2,2021,2021-04-20,other
Luke Glendening,C,Dallas Stars,Detroit Red Wings,3000000,1500000,2,2021,2021-07-28,UFA
Luke Henman,C,Seattle Kraken,NA,2375000,791667,3,2021,2021-05-13,other
Luke Kunin,"C, LW, RW",Nashville Predators,Nashville Predators,4600000,2300000,2,2021,2021-01-06,other
Luke Philp,C,Calgary Flames,NA,750000,750000,1,2021,2021-08-06,other
Luke Schenn,RD,Vancouver Canucks,Tampa Bay Lightning,1700000,850000,2,2021,2021-07-28,UFA
MacKenzie Entwistle,"C, RW",Chicago Blackhawks,Chicago Blackhawks,1600000,800000,2,2021,2021-08-18,other
Mads Sogaard,G,Ottawa Senators,NA,2775000,925000,3,2021,2021-04-13,RFA
Marc Del Gaizo,LD,Nashville Predators,NA,2775000,925000,3,2021,2021-04-20,other
Marcus Foligno,"LW, RW",Minnesota Wild,Minnesota Wild,9300000,3100000,3,2021,2021-01-12,UFA
Marcus Johansson,"LW, RW",Seattle Kraken,Minnesota Wild,1500000,1500000,1,2021,2021-08-06,UFA
Mark Jankowski,"C, RW",Buffalo Sabres,Pittsburgh Penguins,750000,750000,1,2021,2021-11-28,UFA
Martin Chromiak,RW,Los Angeles Kings,NA,2540000,838333,3,2021,2021-09-30,RFA
Mason Geertsen,LW,New York Rangers,NA,1450000,725000,2,2021,2021-03-03,UFA
Mason Marchment,LW,Florida Panthers,Florida Panthers,800000,800000,1,2021,2021-04-05,UFA
Mason McTavish,"C, LW",Anaheim Ducks,NA,10275000,3425000,3,2021,2021-08-13,RFA
Mason Shaw,"LW, RW, C",Minnesota Wild,NA,1500000,750000,2,2021,2021-08-17,other
Mathew Barzal,"RW, C, LW",New York Islanders,New York Islanders,21000000,7000000,3,2021,2021-01-09,other
Mathieu Olivier,"RW, LW",Nashville Predators,Nashville Predators,1500000,750000,2,2021,2021-07-29,other
Matt Boldy,LW,Minnesota Wild,NA,3975000,1325000,3,2021,2021-04-01,RFA
Matt Kiersted,LD,Florida Panthers,Florida Panthers,2700000,1350000,2,2021,2021-04-01,other
Matt Martin,"LW, RW",New York Islanders,New York Islanders,6000000,1500000,4,2021,2021-01-11,UFA
Matt Nieto,LW,San Jose Sharks,San Jose Sharks,1700000,850000,2,2021,2021-06-21,UFA
Matt Rempe,"RW, LW, C",New York Rangers,NA,2540000,838333,3,2021,2021-11-04,RFA
Matt Roy,RD,Los Angeles Kings,Los Angeles Kings,9450000,3150000,3,2021,2021-03-21,UFA
Mattias Ekholm,"LD, RD",Nashville Predators,Nashville Predators,25000000,6250000,4,2021,2021-10-13,UFA
