player_name,position,signing_team,previous_team,contract_value,aav,contract_years,signing_year,signing_date,contract_type
Dmitry Kulikov,"LD, RD",Florida Panthers,Florida Panthers,5000000,2500000,2,2013,2013-01-18,other
Dustin Tokarski,G,Montreal Canadiens,Tampa Bay Lightning,575000,575000,1,2013,2013-08-20,other
Elias Lindholm,"C, RW, LW",Carolina Hurricanes,NA,5325000,1775000,3,2013,2013-07-15,RFA
Eric Comrie,G,Winnipeg Jets,NA,2892500,955833,3,2013,2013-12-26,RFA
Erik Haula,"C, LW",Minnesota Wild,NA,3500000,1750000,2,2013,2013-04-10,other
Evgeni Malkin,C,Pittsburgh Penguins,Pittsburgh Penguins,76000000,9500000,8,2013,2013-07-01,UFA
Frederik Andersen,G,Anaheim Ducks,NA,2300000,1150000,2,2013,2013-10-25,other
Gabriel Landeskog,LW,Colorado Avalanche,Colorado Avalanche,39000000,5571429,7,2013,2013-08-16,UFA
Gustav Nyquist,"RW, C",Detroit Red Wings,Detroit Red Wings,1900000,950000,2,2013,2013-08-21,other
Ian Cole,"LD, RD",St. Louis Blues,St. Louis Blues,1650000,825000,2,2013,2013-05-28,other
Jacob Markstrom,G,Florida Panthers,Florida Panthers,2400000,1200000,2,2013,2013-07-17,other
Jacob Trouba,RD,Winnipeg Jets,NA,5575000,1858333,3,2013,2013-04-02,RFA
Jake Allen,G,St. Louis Blues,St. Louis Blues,1600000,800000,2,2013,2013-07-25,other
Jamie Benn,"LW, C",Dallas Stars,Dallas Stars,26250000,5250000,5,2013,2013-01-24,UFA
Jared Spurgeon,RD,Minnesota Wild,Minnesota Wild,8000000,2666667,3,2013,2013-07-05,other
Joel Edmundson,"LD, RD",St. Louis Blues,NA,2775000,925000,3,2013,2013-03-06,RFA
Jon Merrill,"RD, LD",New Jersey Devils,NA,2700000,900000,3,2013,2013-04-30,other
Jonathan Drouin,"LW, RW",Tampa Bay Lightning,NA,9675000,3225000,3,2013,2013-07-05,RFA
Josh Anderson,"RW, LW",Columbus Blue Jackets,NA,2775000,925000,3,2013,2013-11-12,RFA
Josh Morrissey,LD,Winnipeg Jets,NA,4275000,1425000,3,2013,2013-10-09,RFA
Kevin Connauton,"LD, RD",Dallas Stars,NA,2050000,683333,3,2013,2013-06-13,other
Kris Letang,"RD, LD",Pittsburgh Penguins,Pittsburgh Penguins,58000000,7250000,8,2013,2013-07-01,UFA
Kyle Palmieri,"RW, LW, C",Anaheim Ducks,Anaheim Ducks,4400000,1466667,3,2013,2013-07-26,other
Laurent Brossoit,G,Calgary Flames,NA,2775000,925000,3,2013,2013-04-04,RFA
Logan Couture,C,San Jose Sharks,San Jose Sharks,30000000,6000000,5,2013,2013-06-18,UFA
Luke Glendening,C,Detroit Red Wings,NA,575000,575000,1,2013,2013-07-18,other
Marcus Johansson,"LW, RW",Washington Capitals,Washington Capitals,4000000,2000000,2,2013,2013-09-08,other
Mats Zuccarello,"RW, LW",New York Rangers,New York Rangers,700000,700000,1,2013,2013-03-29,other
Mats Zuccarello,"RW, LW",New York Rangers,New York Rangers,1150000,1150000,1,2013,2013-07-30,other
Matt Duchene,"RW, C",Colorado Avalanche,Colorado Avalanche,30000000,6000000,5,2013,2013-07-18,UFA
Matt Murray,G,Pittsburgh Penguins,NA,2775000,925000,3,2013,2013-09-08,RFA
Matt Nieto,LW,San Jose Sharks,NA,2775000,925000,3,2013,2013-04-01,RFA
Max Domi,"C, RW, LW",Arizona Coyotes,NA,4275000,1425000,3,2013,2013-07-14,RFA
Michael McCarron,"C, RW",Montreal Canadiens,NA,3412500,1137500,3,2013,2013-07-14,RFA
Mikael Backlund,C,Calgary Flames,Calgary Flames,3000000,1500000,2,2013,2013-07-10,other
Nate Schmidt,"RD, LD",Washington Capitals,NA,2700000,1350000,2,2013,2013-04-02,other
Nathan MacKinnon,C,Colorado Avalanche,NA,11325000,3775000,3,2013,2013-07-09,RFA
Nazem Kadri,C,Toronto Maple Leafs,Toronto Maple Leafs,5800000,2900000,2,2013,2013-09-10,other
Nick Bjugstad,C,Florida Panthers,Florida Panthers,3300000,1100000,3,2013,2013-04-03,other
Nick Cousins,"RW, LW, C",Philadelphia Flyers,NA,2775000,925000,3,2013,2013-03-27,other
Nick Jensen,"RD, LD",Detroit Red Wings,NA,1800000,900000,2,2013,2013-05-02,other
Nick Leddy,LD,Chicago Blackhawks,Chicago Blackhawks,5400000,2700000,2,2013,2013-07-03,other
Nikita Zadorov,"LD, RD",Buffalo Sabres,NA,5325000,1775000,3,2013,2013-09-25,RFA
Oliver Bjorkstrand,RW,Columbus Blue Jackets,NA,2800000,925000,3,2013,2013-12-26,RFA
Oliver Ekman-Larsson,"RD, LD",Arizona Coyotes,Phoenix Coyotes,33000000,5500000,6,2013,2013-03-15,UFA
Pat Maroon,"RW, LW",Anaheim Ducks,Anaheim Ducks,1150000,575000,2,2013,2013-03-21,UFA
Radko Gudas,RD,Tampa Bay Lightning,Tampa Bay Lightning,2975000,991667,3,2013,2013-05-07,other
Rasmus Ristolainen,RD,Buffalo Sabres,NA,5325000,1775000,3,2013,2013-07-12,RFA
Riley Nash,C,Carolina Hurricanes,Carolina Hurricanes,1150000,575000,2,2013,2013-07-08,other
Robert Bortuzzo,RD,Pittsburgh Penguins,Pittsburgh Penguins,1200000,600000,2,2013,2013-07-24,other
Roman Josi,LD,Nashville Predators,Nashville Predators,28000000,4000000,7,2013,2013-06-10,UFA
Ryan Hartman,"C, RW",Chicago Blackhawks,NA,2775000,925000,3,2013,2013-11-19,RFA
Ryan McDonagh,"LD, RD",New York Rangers,New York Rangers,28200000,4700000,6,2013,2013-07-08,UFA
Ryan Nugent-Hopkins,"RW, C",Edmonton Oilers,Edmonton Oilers,42000000,6000000,7,2013,2013-09-19,UFA
Ryan O'Reilly,C,Colorado Avalanche,Colorado Avalanche,10000000,5000000,2,2013,2013-02-28,other
Ryan Pulock,RD,New York Islanders,NA,4275000,1425000,3,2013,2013-10-01,RFA
Scott Mayfield,RD,New York Islanders,NA,5325000,1775000,3,2013,2013-04-05,RFA
Scott Sabourin,RW,Los Angeles Kings,NA,2775000,925000,3,2013,2013-10-09,other
Sean Couturier,C,Philadelphia Flyers,Philadelphia Flyers,3500000,1750000,2,2013,2013-07-20,other
Sean Monahan,C,Calgary Flames,NA,5325000,1775000,3,2013,2013-07-22,RFA
Sergei Bobrovsky,G,Columbus Blue Jackets,Columbus Blue Jackets,11250000,5625000,2,2013,2013-07-01,other
Seth Jones,RD,Nashville Predators,NA,9675000,3225000,3,2013,2013-07-10,RFA
Shea Theodore,LD,Anaheim Ducks,NA,2775000,925000,3,2013,2013-10-01,RFA
TJ Brodie,"RD, LD",Calgary Flames,Calgary Flames,4250000,2125000,2,2013,2013-07-31,other
Teuvo Teravainen,"LW, RW, C",Chicago Blackhawks,NA,4475000,1425000,3,2013,2013-08-21,RFA
