contract_id,walk_year_position_group,walk_year_toi_per_game,walk_year_toi_total,walk_year_games,walk_year_goals,walk_year_assists,walk_year_points,walk_year_points_per_game,post_signing_seasons_observed,post_signing_avg_toi_per_game,post_signing_avg_points_per_game,contract_complete,post_signing_toi_change,post_signing_points_change,trajectory_prior_seasons_found,trajectory_toi_slope,trajectory_points_slope,trajectory,tier_toi_percentile,tier
1375,forward,11.092038333333333,743.1665683333333,67,7,8,15,0.22388059701492538,1,12.470833333333333,0.25,TRUE,1.3787950000000002,0.02611940298507462,2,-0.014646666666655327,0.09090909090905641,stable,0.2624356775300172,fringe
1376,forward,12.470833333333333,848.0166666666667,68,8,9,17,0.25,1,11.60572,0.22388059701492538,TRUE,-0.8651133333333334,-0.02611940298507462,3,0.4765750000001584,0.11194029850749232,rising,0.38448275862068965,middle
1377,forward,11.60572,777.5832399999999,67,8,7,15,0.22388059701492538,0,NA,NA,FALSE,NA,NA,3,1.17329583333364,0.07954545454546992,rising,0.31896551724137934,fringe
1378,NA,NA,NA,NA,NA,NA,NA,NA,2,12.947150833333334,0.2496969696969697,TRUE,NA,NA,3,0.2568408333333031,-2.2251154062914665e-15,stable,NA,NA
1379,forward,12.552525000000001,828.4666500000001,66,7,11,18,0.2727272727272727,1,11.808795,0.16666666666666666,TRUE,-0.7437300000000011,-0.10606060606060605,2,0.8680283333332336,0.0013930348258704905,rising,0.413961038961039,middle
1380,forward,11.808795,425.11662,36,2,4,6,0.16666666666666666,1,9.566666666666666,0.16981132075471697,TRUE,-2.2421283333333335,0.0031446540880503138,2,-0.7892516666663623,0.04606060606058862,declining,0.20935412026726058,fringe
1381,NA,NA,NA,NA,NA,NA,NA,NA,3,21.64908888888889,0.41728115747723593,TRUE,NA,NA,NA,NA,NA,insufficient_history,NA,NA
1382,defense,21.67713666666667,1690.8166600000002,78,15,21,36,0.46153846153846156,7,22.94976880952381,0.5225680925493014,FALSE,1.272632142857141,0.0610296310108398,1,NA,NA,insufficient_history,0.7861842105263158,top
1383,NA,NA,NA,NA,NA,NA,NA,NA,3,14.805375,0.41256446319737455,TRUE,NA,NA,NA,NA,NA,insufficient_history,NA,NA
1384,forward,17.101421666666667,1402.3165766666666,82,25,25,50,0.6097560975609756,2,19.7931125,0.7586603039943443,TRUE,2.6916908333333325,0.14890420643336866,3,3.427063333333932,0.24191279887486952,rising,0.8078902229845626,top
1385,forward,20.628501666666665,1423.366615,69,22,28,50,0.7246376811594203,0,NA,NA,FALSE,NA,NA,3,0.8703175000002947,0.09887310898428585,rising,0.9758620689655172,top
1386,NA,NA,NA,NA,NA,NA,NA,NA,3,19.279884444444445,1.0048988951427975,TRUE,NA,NA,3,1.7635400000004302,0.05744079179922618,rising,NA,NA
1387,forward,20.29979666666667,1664.5833266666668,82,57,37,94,1.146341463414634,1,20.560328333333334,1.056338028169014,FALSE,0.2605316666666653,-0.09000343524562004,2,2.0223366666658977,-0.23420888055025507,rising,0.9621380846325167,top
1388,NA,NA,NA,NA,NA,NA,NA,NA,3,16.54607722222222,0.630200322273493,TRUE,NA,NA,NA,NA,NA,insufficient_history,NA,NA
