contract_id,model_position_group,cap_ceiling,aav_cap_share,eligible_overpay,expected_toi,overpay_residual,overpay_residual_std,partial_delivery_flag
733,defense,81500000,0.03496932515337423,TRUE,18.048542343668622,0.48024432299804687,0.19980577986591055,TRUE
734,defense,81500000,0.049079754601226995,TRUE,19.510307616521054,0.9658923834789448,0.40185978616625645,FALSE
735,defense,88000000,0.053409090909090906,FALSE,NA,NA,NA,FALSE
736,forward,75000000,0.011833333333333333,TRUE,12.186438448700592,2.216670717966071,0.9222464489412403,FALSE
737,forward,81500000,0.025766871165644172,TRUE,13.399782156334677,-0.19782215633467715,-0.08230396139709703,TRUE
738,forward,81500000,0.03374233128834356,TRUE,14.094291653622843,-1.3903274869561795,-0.5784461252265981,FALSE
739,defense,73000000,0.010273972602739725,TRUE,15.490235462026654,0.24517453797334454,0.10200493252520475,FALSE
740,defense,79500000,0.016352201257861635,TRUE,16.11990754970828,0.6786207836250533,0.2823403597130508,FALSE
741,defense,81500000,0.018404907975460124,TRUE,16.332557023363595,-1.922787023363595,-0.7999760586878991,TRUE
742,defense,81500000,0.0098159509202454,FALSE,NA,NA,NA,FALSE
743,defense,82500000,0.00909090909090909,TRUE,15.367676388713967,1.5323236112860315,0.6375236509796266,FALSE
744,defense,83500000,0.009281437125748504,FALSE,NA,NA,NA,FALSE
745,defense,88000000,0.008806818181818181,FALSE,NA,NA,NA,FALSE
746,forward,75000000,0.012333333333333333,FALSE,NA,NA,NA,FALSE
747,forward,81500000,0.00950920245398773,TRUE,11.98405125801649,-0.8420229246831568,-0.3503238644884038,FALSE
748,forward,81500000,0.008588957055214725,FALSE,NA,NA,NA,FALSE
749,forward,81500000,0.009202453987730062,TRUE,11.957339354274637,-3.794764354274637,-1.5788127311528595,FALSE
750,forward,83500000,0.009281437125748504,TRUE,11.964217269609367,-3.9100506029427002,-1.6267776059464576,TRUE
751,defense,71400000,0.012955182072829132,FALSE,NA,NA,NA,FALSE
752,defense,75000000,0.07066666666666667,FALSE,NA,NA,NA,FALSE
753,defense,88000000,0.07342329545454546,TRUE,22.0321686817107,-0.31121701504403276,-0.12948192288920962,TRUE
754,forward,75000000,0.0185,TRUE,12.766977156690189,2.5471061766431475,1.0597242104776148,FALSE
755,forward,79500000,0.03773584905660377,TRUE,14.442050400450736,1.9675020995492645,0.81857977817232,FALSE
756,forward,81500000,0.014723926380368098,FALSE,NA,NA,NA,FALSE
757,forward,81500000,0.033128834355828224,TRUE,14.040867846139136,1.1930604871941952,0.49637313687101897,FALSE
758,forward,82500000,0.03636363636363636,TRUE,14.322557012871401,1.6809396537952654,0.6993553954732801,FALSE
759,forward,83500000,0.05089820359281437,TRUE,15.588238844933638,-2.490620511600307,-1.0362233343305056,TRUE
760,defense,75000000,0.008666666666666666,TRUE,15.323727135055876,-2.3380471350558754,-0.9727451399461873,FALSE
761,defense,79500000,0.011320754716981131,TRUE,15.598676509019308,2.244305157647359,0.9337437650098773,FALSE
762,defense,81500000,0.022699386503067485,TRUE,16.77744210640564,0.6697137269276929,0.2786345763763195,TRUE
763,defense,82500000,0.03333333333333333,TRUE,17.879062312033557,-0.19060786758911163,-0.07930245462240593,TRUE
764,defense,71400000,0.012955182072829132,FALSE,NA,NA,NA,FALSE
765,defense,75000000,0.008666666666666666,TRUE,15.323727135055876,3.23150953161079,1.3444704105544276,FALSE
766,defense,79500000,0.01509433962264151,TRUE,15.989599789536037,5.493355210463967,2.2855119141339233,FALSE
767,defense,81500000,0.03680981595092025,FALSE,NA,NA,NA,FALSE
768,defense,81500000,0.0098159509202454,TRUE,15.442786857279508,0.7752914760538268,0.3225602273219537,FALSE
769,defense,82500000,0.009696969696969697,TRUE,15.430461036796958,4.342395629869712,1.8066548707874435,FALSE
770,defense,83500000,0.009880239520958085,TRUE,15.449446813612472,1.9424381863875269,0.8081519303541318,FALSE
