player_id,player_name,name_key,name_key_ascii,first_name,last_name,first_name_key,last_name_key,name_key_first_last
8471348,Nikita Nikitin,nikita nikitin,nikita nikitin,Nikita,Nikitin,nikita,nikitin,nikita nikitin
8474592,Philip McRae,philip mcrae,philip mcrae,Philip,McRae,philip,mcrae,philip mcrae
8471817,Ryan Reaves,ryan reaves,ryan reaves,Ryan,Reaves,ryan,reaves,ryan reaves
8474762,Stefan Della Rovere,stefan della rovere,stefan della rovere,Stefan,Rovere,stefan,rovere,stefan rovere
8467925,Adam Hall,adam hall,adam hall,Adam,Hall,adam,hall,adam hall
8473638,Cedrick Desjardins,cedrick desjardins,cedrick desjardins,Cedrick,Desjardins,cedrick,desjardins,cedrick desjardins
8474095,Dana Tyrell,dana tyrell,dana tyrell,Dana,Tyrell,dana,tyrell,dana tyrell
8474085,Johan Harju,johan harju,johan harju,Johan,Harju,johan,harju,johan harju
8471413,Mike Vernace,mike vernace,mike vernace,Mike,Vernace,mike,vernace,mike vernace
8470986,Darryl Boyce,darryl boyce,darryl boyce,Darryl,Boyce,darryl,boyce,darryl boyce
8473503,James Reimer,james reimer,james reimer,James,Reimer,james,reimer,james reimer
8474577,Joe Colborne,joe colborne,joe colborne,Joe,Colborne,joe,colborne,joe colborne
8470156,Joey Crabb,joey crabb,joey crabb,Joey,Crabb,joey,crabb,joey crabb
8474048,Keith Aulie,keith aulie,keith aulie,Keith,Aulie,keith,aulie,keith aulie
8473560,Korbinian Holzer,korbinian holzer,korbinian holzer,Korbinian,Holzer,korbinian,holzer,korbinian holzer
8475950,Marcel Mueller,marcel mueller,marcel mueller,Marcel,Mueller,marcel,mueller,marcel mueller
8474192,Matt Frattin,matt frattin,matt frattin,Matt,Frattin,matt,frattin,matt frattin
8467937,Mike Zigomanis,mike zigomanis,mike zigomanis,Mike,Zigomanis,mike,zigomanis,mike zigomanis
8475619,Aaron Volpatti,aaron volpatti,aaron volpatti,Aaron,Volpatti,aaron,volpatti,aaron volpatti
8475690,Chris Tanev,chris tanev,chris tanev,Chris,Tanev,chris,tanev,chris tanev
8474570,Cody Hodgson,cody hodgson,cody hodgson,Cody,Hodgson,cody,hodgson,cody hodgson
8467906,Jonas Andersson,jonas andersson,jonas andersson,Jonas,Andersson,jonas,andersson,jonas andersson
