player_id,player_name,match_status,position,signing_team,signing_team_abbr,previous_team,previous_team_abbr,contract_value,aav,contract_years,signing_year,season_start,season,signing_date,contract_type
8476329,Travis Boyd,exact,"RW, C",Arizona Coyotes,ARI,Toronto Maple Leafs,TOR,750000,750000,1,2021,2021,20212022,2021-08-03,UFA
8478408,Travis Dermott,exact,"LD, RD",Toronto Maple Leafs,TOR,Toronto Maple Leafs,TOR,3000000,1500000,2,2021,2021,20212022,2021-07-08,other
8474612,Travis Hamonic,exact,RD,Vancouver Canucks,VAN,Vancouver Canucks,VAN,1250000,1250000,1,2021,2021,20212022,2021-01-12,UFA
8474612,Travis Hamonic,exact,RD,Vancouver Canucks,VAN,Vancouver Canucks,VAN,6000000,3000000,2,2021,2021,20212022,2021-07-28,UFA
8477948,Travis Sanheim,exact,"RD, LD",Philadelphia Flyers,PHI,Philadelphia Flyers,PHI,9350000,4675000,2,2021,2021,20212022,2021-08-21,UFA
8479365,Trent Frederic,exact,"RW, C",Boston Bruins,BOS,Boston Bruins,BOS,2100000,1050000,2,2021,2021,20212022,2021-06-25,other
8473453,Trevor Lewis,exact,"C, RW, LW",Winnipeg Jets,WPG,Winnipeg Jets,WPG,750000,750000,1,2021,2021,20212022,2021-01-13,UFA
8473453,Trevor Lewis,exact,"C, RW, LW",Calgary Flames,CGY,Winnipeg Jets,WPG,800000,800000,1,2021,2021,20212022,2021-07-28,UFA
8479675,Trevor Moore,exact,LW,Los Angeles Kings,LAK,Los Angeles Kings,LAK,3750000,1875000,2,2021,2021,20212022,2021-07-24,UFA
8477845,Trevor van Riemsdyk,exact,"RD, LD",Washington Capitals,WSH,Washington Capitals,WSH,1900000,950000,2,2021,2021,20212022,2021-03-21,UFA
8477359,Tucker Poolman,exact,RD,Vancouver Canucks,VAN,Winnipeg Jets,WPG,10000000,2500000,4,2021,2021,20212022,2021-07-28,UFA
8480834,Ty Emberson,exact,RD,Arizona Coyotes,ARI,NA,NA,2775000,925000,3,2021,2021,20212022,2021-04-07,other
NA,Ty Voit,unmatched,LW,Toronto Maple Leafs,TOR,NA,NA,2555000,835000,3,2021,2021,20212022,2021-12-20,RFA
8481740,Tyce Thompson,exact,RW,New Jersey Devils,NJD,New Jersey Devils,NJD,2250000,1125000,2,2021,2021,20212022,2021-03-24,other
8477479,Tyler Bertuzzi,exact,LW,Detroit Red Wings,DET,Detroit Red Wings,DET,9500000,4750000,2,2021,2021,20212022,2021-07-31,UFA
8482674,Tyler Boucher,exact,RW,Ottawa Senators,OTT,NA,NA,4975000,1658333,3,2021,2021,20212022,2021-12-28,RFA
NA,Tyler Tullio,unmatched,RW,Edmonton Oilers,EDM,NA,NA,2585000,853333,3,2021,2021,20212022,2021-09-06,RFA
8475197,Tyson Barrie,exact,"RD, LD",Edmonton Oilers,EDM,Edmonton Oilers,EDM,13500000,4500000,3,2021,2021,20212022,2021-07-28,UFA
