player_id,canonical_name,all_name_variants,normalized_keys,normalized_ascii_keys
8476934,Brock McGinn,Brock McGinn,brock mcginn,brock mcginn
8476941,Connor Carrick,Connor Carrick,connor carrick,connor carrick
8476944,Brendan Woods,Brendan Woods,brendan woods,brendan woods
8476945,Connor Hellebuyck,Connor Hellebuyck,connor hellebuyck,connor hellebuyck
8476947,Nikolai Prokhorkin,Nikolai Prokhorkin,nikolai prokhorkin,nikolai prokhorkin
8476948,Charles Hudon,Charles Hudon,charles hudon,charles hudon
8476952,Dominic Toninato,Dominic Toninato,dominic toninato,dominic toninato
8476953,Trevor Carrick,Trevor Carrick,trevor carrick,trevor carrick
8476955,Taylor Leier,Taylor Leier,taylor leier,taylor leier
8476958,Jaccob Slavin,Jaccob Slavin,jaccob slavin,jaccob slavin
8476960,Andreas Athanasiou,Andreas Athanasiou,andreas athanasiou,andreas athanasiou
8476966,Gemel Smith,Gemel Smith,gemel smith,gemel smith
8476967,Brett Kulak,Brett Kulak,brett kulak,brett kulak
8476971,Kevin Roy,Kevin Roy,kevin roy,kevin roy
8476974,Thomas Di Pauli,Thomas Di Pauli,thomas di pauli,thomas di pauli
8476975,Cedric Paquette,Cedric Paquette,cedric paquette,cedric paquette
8476979,Erik Gustafsson,Erik Gustafsson,erik gustafsson,erik gustafsson
8476981,Josh Anderson,Josh Anderson,josh anderson,josh anderson
8476982,Danny O'Regan,Danny O'Regan,danny o'regan,danny o'regan
8476983,Paul LaDue,Paul LaDue,paul ladue,paul ladue
8476986,Marek Langhamer,Marek Langhamer,marek langhamer,marek langhamer
8476987,Jake Bischoff,Jake Bischoff,jake bischoff,jake bischoff
8476988,Matt Benning,Matt Benning,matt benning,matt benning
8476989,Petteri Lindbohm,Petteri Lindbohm,petteri lindbohm,petteri lindbohm
8476992,Marek Mazanec,Marek Mazanec,marek mazanec,marek mazanec
8476994,Vinnie Hinostroza,Vinnie Hinostroza,vinnie hinostroza,vinnie hinostroza
8476999,Linus Ullmark,Linus Ullmark,linus ullmark,linus ullmark
8477003,Riley Barber,Riley Barber,riley barber,riley barber
8477006,Christoph Bertschy,Christoph Bertschy,christoph bertschy,christoph bertschy
8477009,Jake Dotchin,Jake Dotchin,jake dotchin,jake dotchin
8477010,Joseph Blandisi,Joseph Blandisi,joseph blandisi,joseph blandisi
8477015,Connor Brown,Connor Brown,connor brown,connor brown
8477018,Ben Hutton,Ben Hutton,ben hutton,ben hutton
8477021,Alexander Kerfoot,Alex Kerfoot | Alexander Kerfoot,alex kerfoot | alexander kerfoot,alex kerfoot | alexander kerfoot
8477033,Viktor Loov,Viktor Loov,viktor loov,viktor loov
8477034,Jaycob Megna,Jaycob Megna,jaycob megna,jaycob megna
8477038,Nikita Gusev,Nikita Gusev,nikita gusev,nikita gusev
8477041,Brady Austin,Brady Austin,brady austin,brady austin
8477043,Christian Djoos,Christian Djoos,christian djoos,christian djoos
8477046,Joakim Ryan,Joakim Ryan,joakim ryan,joakim ryan
8477070,Liam O'Brien,Liam O'Brien,liam o'brien,liam o'brien
8477073,Kurtis MacDermid,Kurtis MacDermid,kurtis macdermid,kurtis macdermid
8477076,JC Lipon,JC Lipon,jc lipon,jc lipon
8477085,Ashton Sautner,Ashton Sautner,ashton sautner,ashton sautner
8477091,Evan McEneny,Evan McEneny,evan mceneny,evan mceneny
8477126,Jayson Megna,Jayson Megna,jayson megna,jayson megna
8477149,Scott Sabourin,Scott Sabourin,scott sabourin,scott sabourin
8477180,Aaron Dell,Aaron Dell,aaron dell,aaron dell
8477202,Andrew Hammond,Andrew Hammond,andrew hammond,andrew hammond
8477205,Andrej Sustr,Andrej Sustr,andrej sustr,andrej sustr
8477210,Buddy Robinson,Buddy Robinson,buddy robinson,buddy robinson
8477213,Tim Schaller,Tim Schaller,tim schaller,tim schaller
8477215,Danny DeKeyser,Danny DeKeyser,danny dekeyser,danny dekeyser
8477220,Nate Schmidt,Nate Schmidt,nate schmidt,nate schmidt
8477225,Jared Coreau,Jared Coreau,jared coreau,jared coreau
8477234,Troy Grosenick,Troy Grosenick,troy grosenick,troy grosenick
8477237,Mike Condon,Mike Condon,mike condon,mike condon
8477240,Carter Rowney,Carter Rowney,carter rowney,carter rowney
8477244,Chad Ruhwedel,Chad Ruhwedel,chad ruhwedel,chad ruhwedel
8477249,Andrew Miller,Andrew Miller,andrew miller,andrew miller
8477290,Michael Raffl,Michael Raffl,michael raffl,michael raffl
8477293,Antti Raanta,Antti Raanta,antti raanta,antti raanta
8477300,Viktor Svedberg,Viktor Svedberg,viktor svedberg,viktor svedberg
8477312,Antoine Bibeau,Antoine Bibeau,antoine bibeau,antoine bibeau
8477314,Brian Pinho,Brian Pinho,brian pinho,brian pinho
8477320,Anton Blidh,Anton Blidh,anton blidh,anton blidh
8477326,Joel Vermin,Joel Vermin,joel vermin,joel vermin
8477330,Dominik Kubalik,Dominik Kubalik,dominik kubalik,dominik kubalik
8477335,Kyle Burroughs,Kyle Burroughs,kyle burroughs,kyle burroughs
8477337,John Gilmour,John Gilmour,john gilmour,john gilmour
8477341,Andreas Johnsson,Andreas Johnsson,andreas johnsson,andreas johnsson
8477343,Tyler Lewington,Tyler Lewington,tyler lewington,tyler lewington
8477346,MacKenzie Weegar,MacKenzie Weegar,mackenzie weegar,mackenzie weegar
8477353,Tyler Motte,Tyler Motte,tyler motte,tyler motte
8477355,Will Butcher,Will Butcher,will butcher,will butcher
8477356,Kristers Gudlevskis,Kristers Gudlevskis,kristers gudlevskis,kristers gudlevskis
8477357,Saku Maenalanen,Saku Maenalanen,saku maenalanen,saku maenalanen
8477359,Tucker Poolman,Tucker Poolman,tucker poolman,tucker poolman
8477361,Cal Petersen,Cal Petersen,cal petersen,cal petersen
8477365,Connor Clifton,Connor Clifton,connor clifton,connor clifton
8477366,Luke Johnson,Luke Johnson,luke johnson,luke johnson
8477369,Carson Soucy,Carson Soucy,carson soucy,carson soucy
8477380,Jonny Brodzinski,Jonny Brodzinski,jonny brodzinski,jonny brodzinski
8477384,Joshua Brown,Josh Brown | Joshua Brown,josh brown | joshua brown,josh brown | joshua brown
8477391,Sean Malone,Sean Malone,sean malone,sean malone
8477392,Hudson Fasching,Hudson Fasching,hudson fasching,hudson fasching
8477399,Tyrell Goulbourne,Tyrell Goulbourne,tyrell goulbourne,tyrell goulbourne
8477401,John Hayden,John Hayden,john hayden,john hayden
8477402,Pavel Buchnevich,Pavel Buchnevich,pavel buchnevich,pavel buchnevich
8477404,Jake Guentzel,Jake Guentzel,jake guentzel,jake guentzel
8477405,Marcus Hogberg,Marcus Hogberg,marcus hogberg,marcus hogberg
8477406,Mattias Janmark,Mattias Janmark,mattias janmark,mattias janmark
8477407,Anthony Duclair,Anthony Duclair,anthony duclair,anthony duclair
8477409,Carter Verhaeghe,Carter Verhaeghe,carter verhaeghe,carter verhaeghe
8477413,Sven Andrighetto,Sven Andrighetto,sven andrighetto,sven andrighetto
8477415,Anton Slepyshev,Anton Slepyshev,anton slepyshev,anton slepyshev
8477416,Oliver Bjorkstrand,Oliver Bjorkstrand,oliver bjorkstrand,oliver bjorkstrand
8477417,Peter Cehlarik,Peter Cehlarik,peter cehlarik,peter cehlarik
8477419,Mason Geertsen,Mason Geertsen,mason geertsen,mason geertsen
8477424,Juuse Saros,Juuse Saros,juuse saros,juuse saros
8477425,Miles Wood,Miles Wood,miles wood,miles wood
8477426,Nick Paul,Nicholas Paul | Nick Paul,nicholas paul | nick paul,nicholas paul | nick paul
8477427,Tobias Lindberg,Tobias Lindberg,tobias lindberg,tobias lindberg
8477428,Justin Auger,Justin Auger,justin auger,justin auger
8477429,Andrew Copp,Andrew Copp,andrew copp,andrew copp
8477433,Ben Harpur,Ben Harpur,ben harpur,ben harpur
8477435,Ryan Graves,Ryan Graves,ryan graves,ryan graves
8477444,Andre Burakovsky,Andre Burakovsky,andre burakovsky,andre burakovsky
8477445,Hunter Shinkaruk,Hunter Shinkaruk,hunter shinkaruk,hunter shinkaruk
8477446,Michael McCarron,Michael McCarron,michael mccarron,michael mccarron
8477447,Shea Theodore,Shea Theodore,shea theodore,shea theodore
8477448,Marko Dano,Marko Dano,marko dano,marko dano
8477449,Morgan Klimchuk,Morgan Klimchuk,morgan klimchuk,morgan klimchuk
8477450,Jason Dickinson,Jason Dickinson,jason dickinson,jason dickinson
8477451,Ryan Hartman,Ryan Hartman,ryan hartman,ryan hartman
8477452,Ian McCoshen,Ian McCoshen,ian mccoshen,ian mccoshen
8477453,Chris Bigras,Chris Bigras,chris bigras,chris bigras
8477454,Adam Erne,Adam Erne,adam erne,adam erne
8477455,Jacob de la Rose,Jacob de la Rose,jacob de la rose,jacob de la rose
8477456,J.T. Compher,J.T. Compher,j.t. compher,j.t. compher
8477457,Zach Fucale,Zach Fucale,zach fucale,zach fucale
8477458,Valentin Zykov,Valentin Zykov,valentin zykov,valentin zykov
8477460,Laurent Dauphin,Laurent Dauphin,laurent dauphin,laurent dauphin
8477461,Remi Elie,Remi Elie,remi elie,remi elie
8477462,Robert Hagg,Robert Hagg,robert hagg,robert hagg
8477463,Steven Santini,Steven Santini,steven santini,steven santini
8477464,Nic Petan,Nic Petan,nic petan,nic petan
8477465,Tristan Jarry,Tristan Jarry,tristan jarry,tristan jarry
8477466,Nick Sorensen,Nick Sorensen,nick sorensen,nick sorensen
8477467,Gustav Olofsson,Gustav Olofsson,gustav olofsson,gustav olofsson
8477471,Dillon Heatherington,Dillon Heatherington,dillon heatherington,dillon heatherington
8477472,Carl Dahlstrom,Carl Dahlstrom,carl dahlstrom,carl dahlstrom
8477473,Justin Bailey,Justin Bailey,justin bailey,justin bailey
8477474,Madison Bowey,Madison Bowey,madison bowey,madison bowey
8477476,Artturi Lehkonen,Artturi Lehkonen,artturi lehkonen,artturi lehkonen
8477478,William Carrier,William Carrier,william carrier,william carrier
8477479,Tyler Bertuzzi,Tyler Bertuzzi,tyler bertuzzi,tyler bertuzzi
8477480,Eric Comrie,Eric Comrie,eric comrie,eric comrie
8477482,Zachary Sanford,Zach Sanford | Zachary Sanford,zach sanford | zachary sanford,zach sanford | zachary sanford
8477484,Spencer Martin,Spencer Martin,spencer martin,spencer martin
8477486,Emile Poirier,Emile Poirier,emile poirier,emile poirier
8477488,Brett Pesce,Brett Pesce,brett pesce,brett pesce
